127.0.0.1 - - [15/Nov/2022:21:12:52 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:16:26 -0300] "GET /gerenciador HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:16:28 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:16:38 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:16:47 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:24:49 -0300] "GET /gerenciador/listaEmpresa.jsp HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:25:04 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:29:25 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:29:27 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:30:22 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:30:55 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:31:52 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:32:19 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:32:31 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:33:25 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:36:04 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:38:21 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:39:08 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:42:49 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:45:20 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:46:12 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:46:51 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:49:31 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:50:05 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 500 2649
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:50:34 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:51:24 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:51:49 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:52:13 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:52:14 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:52:37 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 500 2649
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:52:58 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:54:37 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:55:46 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:56:45 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:58:35 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 500 2530
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:58:49 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:59:32 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [15/Nov/2022:21:59:58 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:01:10 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:05:29 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:05:52 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:08:51 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:10:48 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:11:01 -0300] "GET /gerenciador/listaEmpresas.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:16:03 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:19:26 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:19:41 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:23:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:23:37 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:23:46 -0300] "GET /gerenciador/empresas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:24:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 500 2894
0:0:0:0:0:0:0:1 - - [15/Nov/2022:22:24:53 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 370
